2016-11-10 18:02:35,902 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.1.Final-redhat-1
2016-11-10 18:02:36,385 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final-redhat-1
2016-11-10 18:02:36,505 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) starting
2016-11-10 18:02:38,211 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.3.6.Final-redhat-1
2016-11-10 18:02:38,263 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.3.6.Final-redhat-1
2016-11-10 18:02:38,442 INFO  [org.jboss.remoting] (MSC service thread 1-1) JBoss Remoting version 4.0.18.Final-redhat-1
2016-11-10 18:02:38,523 INFO  [org.jboss.as.remoting] (MSC service thread 1-4) WFLYRMT0001: Listening on 0.0.0.0:11999
2016-11-10 18:02:43,506 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 5) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=singleton-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2016-11-10 18:02:43,508 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 5) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=secondary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2016-11-10 18:02:43,509 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 5) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=primary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2016-11-10 18:02:43,944 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0148: Connected to master host controller at remote://127.0.0.1:9999
2016-11-10 18:02:44,200 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server Server21
2016-11-10 18:02:44,205 WARN  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2016-11-10 18:02:44,439 WARN  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2016-11-10 18:02:48,505 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:Server21] connected using connection [Channel ID 562a5399 (inbound) of Remoting connection 1a484811 to /10.0.0.1:53814]
2016-11-10 18:02:48,577 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server Server22
2016-11-10 18:02:48,578 WARN  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2016-11-10 18:02:48,652 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server Server21
2016-11-10 18:02:48,841 WARN  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2016-11-10 18:02:57,280 INFO  [org.jboss.as.host.controller] (management task-5) WFLYHC0021: Server [Server:Server22] connected using connection [Channel ID 186614f1 (inbound) of Remoting connection 3571e8b8 to /10.0.0.1:37619]
2016-11-10 18:02:57,389 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server Server23
2016-11-10 18:02:57,390 WARN  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2016-11-10 18:02:57,464 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server Server22
2016-11-10 18:02:57,784 WARN  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2016-11-10 18:03:12,999 INFO  [org.jboss.as.host.controller] (management task-10) WFLYHC0021: Server [Server:Server23] connected using connection [Channel ID 58ad5bfc (inbound) of Remoting connection 2277868a to /10.0.0.1:46771]
2016-11-10 18:03:13,187 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server Server23
2016-11-10 18:03:13,306 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) (Host Controller) started in 38376ms - Started 43 of 44 services (13 services are lazy, passive or on-demand)
2016-11-10 19:09:23,928 INFO  [org.jboss.as.repository] (Host Controller Service Threads - 52) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/solution/eap7-dev-labs/03_Operating_Modes/domainLab/host2/domain/data/content/cb/e0a3a1e144bf6d37dba6cba8ccbc46000fef39/content
2016-11-10 19:09:35,754 INFO  [org.jboss.as.repository] (Host Controller Service Threads - 55) WFLYDR0002: Content removed from location /home/jboss/eap7_labs/solution/eap7-dev-labs/03_Operating_Modes/domainLab/host2/domain/data/content/1d/8318b61c6558bf0023634a185a3c055e548813/content
2016-11-11 01:27:03,937 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0029: Unregistered at domain controller
2016-11-11 01:27:04,159 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 92) WFLYHC0024: Stopping server Server23
2016-11-11 01:27:04,166 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 92) WFLYHC0024: Stopping server Server22
2016-11-11 01:27:04,167 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 92) WFLYHC0024: Stopping server Server21
2016-11-11 01:27:06,461 INFO  [org.jboss.as.host.controller] (management task-4) WFLYHC0027: Unregistering server Server23
2016-11-11 01:27:07,780 INFO  [org.jboss.as.host.controller] (management task-6) WFLYHC0027: Unregistering server Server22
2016-11-11 01:27:08,019 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server Server23
2016-11-11 01:27:08,840 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server Server22
2016-11-11 01:27:10,455 INFO  [org.jboss.as.host.controller] (management task-8) WFLYHC0027: Unregistering server Server21
2016-11-11 01:27:11,105 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server Server21
2016-11-11 01:27:11,238 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) stopped in 7812ms
