2016-11-11 01:27:03,077 INFO  [org.jboss.as.server] (Thread-2) WFLYSRV0220: Server shutdown has been requested.
2016-11-11 01:27:04,849 INFO  [org.wildfly.extension.messaging-activemq] (MSC service thread 1-1) WFLYMSGAMQ0006: Unbound messaging object to jndi name java:jboss/DefaultJMSConnectionFactory
2016-11-11 01:27:04,910 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-2) WFLYJCA0010: Unbound data source [java:jboss/datasources/ExampleDS]
2016-11-11 01:27:05,167 INFO  [org.jboss.as.connector.deployment] (MSC service thread 1-3) WFLYJCA0011: Unbound JCA ConnectionFactory [java:/JmsXA]
2016-11-11 01:27:06,513 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) WFLYUT0019: Host default-host stopping
2016-11-11 01:27:06,513 INFO  [org.wildfly.extension.messaging-activemq] (ServerService Thread Pool -- 95) WFLYMSGAMQ0006: Unbound messaging object to jndi name java:jboss/exported/jms/RemoteConnectionFactory
2016-11-11 01:27:06,556 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-1) WFLYJCA0019: Stopped Driver service with driver-name = h2
2016-11-11 01:27:09,780 INFO  [org.apache.activemq.artemis.ra] (ServerService Thread Pool -- 99) AMQ151003: resource adaptor stopped
2016-11-11 01:27:10,444 INFO  [org.apache.activemq.artemis.core.server] (ServerService Thread Pool -- 99) AMQ221002: Apache ActiveMQ Artemis Message Broker version 1.1.0.SP16-redhat-1 [80b65309-9c5e-11e6-8a82-a5420284b28d] stopped
2016-11-11 01:27:10,481 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) WFLYUT0008: Undertow HTTP listener default suspending
2016-11-11 01:27:10,492 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) WFLYUT0007: Undertow HTTP listener default stopped, was bound to 0.0.0.0:8080
2016-11-11 01:27:10,494 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-1) WFLYUT0004: Undertow 1.3.21.Final-redhat-1 stopping
2016-11-11 01:27:10,652 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) stopped in 4439ms
